Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgCyclomaticStrictModified,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineComment,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxCyclomaticStrictModified,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumCyclomaticStrictModified,SumEssential
TaskStateInternal.java,0,0,0,0,0,0,0,0,0,1,0,23,2,4,17,2,2,0,0,0,0,0,0,0,4.25,0,0,0,0,0
JobAbortCompletedEvent.java,1,1,1,1,1,3,0,3,0,1,2,36,6,13,17,10,7,3,1,1,1,1,1,0,1.30769,2,2,2,2,2
JobCommitCompletedEvent.java,1,1,1,1,1,3,0,3,0,1,1,27,3,7,17,5,4,1,1,1,1,1,1,0,2.42857,1,1,1,1,1
JobCommitFailedEvent.java,1,1,1,1,1,3,0,3,0,1,2,34,5,12,17,9,6,3,1,1,1,1,1,0,1.41667,2,2,2,2,2
JobCounterUpdateEvent.java,1,1,1,1,1,3,0,3,0,2,6,60,12,31,17,23,15,8,1,1,1,1,1,0,0.548387,6,6,6,6,6
JobDiagnosticsUpdateEvent.java,1,1,1,1,1,3,0,3,0,1,2,36,7,12,17,9,6,3,1,1,1,1,1,0,1.41667,2,2,2,2,2
JobEvent.java,1,1,1,1,1,3,0,3,0,1,2,41,7,13,21,10,7,3,1,1,1,1,1,0,1.61538,2,2,2,2,2
JobEventType.java,0,0,0,0,0,0,0,0,0,1,0,61,10,23,28,2,2,0,0,0,0,0,0,0,1.21739,0,0,0,0,0
JobFinishEvent.java,0,0,0,0,0,1,0,1,0,2,2,42,8,17,17,11,8,3,1,1,1,1,1,0,1.0,2,2,2,2,2
JobMapTaskRescheduledEvent.java,1,1,1,1,1,3,0,3,0,1,2,38,9,12,17,9,6,3,1,1,1,1,1,0,1.41667,2,2,2,2,2
JobSetupCompletedEvent.java,1,1,1,1,1,3,0,3,0,1,1,28,4,7,17,5,4,1,1,1,1,1,1,0,2.42857,1,1,1,1,1
JobSetupFailedEvent.java,1,1,1,1,1,3,0,3,0,1,2,35,6,12,17,9,6,3,1,1,1,1,1,0,1.41667,2,2,2,2,2
